"Date","Price","Open","High","Low","Vol.","Change %"
"05/15/2023","195.89","196.45","196.56","194.99","36.32K","0.38%"
"05/12/2023","195.15","194.99","195.55","193.83","21.68K","0.08%"
"05/11/2023","194.99","196.48","196.48","194.79","61.73K","-0.02%"
"05/10/2023","195.03","196.59","196.59","194.28","12.18K","-0.18%"
"05/09/2023","195.39","194.99","195.43","194.18","550.58K","0.44%"
"05/08/2023","194.54","192.65","194.88","192.00","15.99K","0.98%"
"05/05/2023","192.65","195.99","195.99","192.42","35.27K","-0.92%"
"05/04/2023","194.43","193.49","194.59","192.60","68.19K","0.75%"
"05/03/2023","192.98","193.51","193.51","192.35","19.18K","-0.24%"
"05/02/2023","193.44","194.04","194.04","192.50","35.33K","0.54%"
"04/28/2023","192.40","191.59","193.06","190.49","28.06K","0.76%"
"04/27/2023","190.94","189.73","191.20","189.58","27.71K","0.64%"
"04/26/2023","189.72","189.33","189.85","188.91","9.84K","0.16%"
"04/25/2023","189.42","188.99","189.75","188.80","9.76K","0.16%"
"04/24/2023","189.11","189.79","189.79","187.64","14.69K","0.48%"
"04/21/2023","188.21","188.44","188.63","187.53","8.07K","0.13%"
"04/20/2023","187.96","187.68","188.69","187.33","12.28K","0.06%"
"04/19/2023","187.85","188.23","189.09","187.32","24.46K","-0.20%"
"04/18/2023","188.23","189.26","189.40","187.65","40.14K","-0.35%"
"04/17/2023","188.90","190.89","190.89","187.60","70.92K","-0.51%"
"04/13/2023","189.87","189.94","189.95","188.83","34.38K","0.14%"
"04/12/2023","189.61","189.59","189.80","188.79","30.27K","0.43%"
"04/11/2023","188.79","187.89","189.19","187.89","21.45K","0.48%"
"04/10/2023","187.89","187.00","188.70","185.75","25.91K","0.27%"
"04/06/2023","187.39","186.96","188.00","186.20","32.12K","0.22%"
"04/05/2023","186.97","185.58","187.10","185.58","23.34K","0.75%"
"04/03/2023","185.58","184.89","187.60","184.42","58.66K","0.37%"
"03/31/2023","184.89","184.44","185.08","183.14","81.27K","1.54%"
"03/29/2023","182.08","181.30","183.14","180.65","24.80K","0.47%"
"03/28/2023","181.22","182.20","182.20","180.38","19.42K","-0.02%"
"03/27/2023","181.25","183.14","184.00","180.14","44.16K","0.06%"
"03/24/2023","181.14","182.65","182.77","180.80","30.56K","-0.65%"
"03/23/2023","182.32","182.54","183.70","182.00","31.40K","-0.42%"
"03/22/2023","183.08","183.99","186.93","179.60","45.06K","0.27%"
"03/21/2023","182.58","182.00","182.65","181.56","20.89K","0.56%"
"03/20/2023","181.56","181.76","184.60","180.00","49.90K","-0.66%"
"03/17/2023","182.77","182.71","183.21","181.25","16.65K","0.63%"
"03/16/2023","181.62","183.49","183.49","180.00","40.07K","0.07%"
"03/15/2023","181.50","182.98","183.94","181.00","27.82K","-0.42%"
"03/14/2023","182.26","186.01","186.01","181.67","71.87K","-0.76%"
"03/13/2023","183.65","188.00","188.00","183.01","78.63K","-1.34%"
"03/10/2023","186.15","187.95","187.95","185.04","34.73K","-0.88%"
"03/09/2023","187.80","189.20","189.30","187.58","11.94K","-0.66%"
"03/08/2023","189.04","188.09","189.28","187.68","16.38K","0.21%"
"03/06/2023","188.65","189.44","189.69","188.00","19.06K","0.42%"
"03/03/2023","187.86","185.66","187.98","185.66","35.93K","1.43%"
"03/02/2023","185.22","186.44","186.44","184.82","54.24K","-0.66%"
"03/01/2023","186.45","185.89","186.50","185.40","14.42K","0.77%"
"02/28/2023","185.02","189.00","189.64","184.24","22.50K","-0.48%"
"02/27/2023","185.92","186.20","186.50","185.00","35.26K","-0.36%"
"02/24/2023","186.59","188.00","188.00","186.00","31.02K","-0.32%"
"02/23/2023","187.18","188.10","188.40","186.70","19.58K","-0.63%"
"02/22/2023","188.36","190.14","190.14","187.49","41.29K","-1.20%"
"02/21/2023","190.65","190.95","191.42","190.12","22.56K","-0.07%"
"02/20/2023","190.79","193.00","193.00","190.41","14.83K","-0.32%"
"02/17/2023","191.40","192.13","192.55","190.94","23.38K","-0.49%"
"02/16/2023","192.35","192.07","193.50","192.06","19.23K","0.15%"
"02/15/2023","192.07","191.71","192.25","190.75","50.83K","0.17%"
"02/14/2023","191.74","190.01","192.20","189.61","559.41K","1.00%"
"02/13/2023","189.84","190.52","190.75","189.00","39.94K","-0.17%"
"02/10/2023","190.17","191.12","191.12","189.51","15.13K","-0.15%"
"02/09/2023","190.46","190.30","191.04","189.36","12.15K","-0.02%"
"02/08/2023","190.49","194.50","194.50","189.20","57.84K","0.88%"
"02/07/2023","188.83","189.69","189.90","188.11","20.83K","-0.19%"
"02/06/2023","189.18","189.86","190.76","188.51","28.67K","-0.36%"
"02/03/2023","189.86","188.12","190.44","187.31","54.44K","1.12%"
"02/02/2023","187.76","187.71","188.30","186.38","24.85K","0.03%"
"02/01/2023","187.71","188.89","191.63","186.05","34.81K","-0.57%"
"01/31/2023","188.79","190.00","190.00","187.11","22.69K","0.25%"
"01/30/2023","188.32","187.39","190.60","186.00","31.90K","0.50%"
"01/27/2023","187.39","192.00","192.00","186.75","143.11K","-2.01%"
"01/25/2023","191.23","192.91","192.91","190.61","47.96K","-0.94%"
"01/24/2023","193.04","193.20","193.69","192.51","18.59K","-0.06%"
"01/23/2023","193.15","192.11","193.66","192.11","25.58K","0.63%"
"01/20/2023","191.94","193.29","193.29","191.76","8.62K","-0.37%"
"01/19/2023","192.65","192.98","193.12","192.40","17.15K","-0.25%"
"01/18/2023","193.14","192.20","193.42","192.08","20.15K","0.60%"
"01/17/2023","191.98","191.19","192.54","190.95","56.32K","0.48%"
"01/16/2023","191.06","191.90","192.25","190.32","41.84K","-0.06%"
"01/13/2023","191.17","190.94","191.93","189.28","12.67K","0.52%"
"01/12/2023","190.19","197.00","197.00","189.61","15.60K","-0.50%"
"01/11/2023","191.14","191.24","192.00","190.11","24.70K","-0.05%"
"01/10/2023","191.23","192.60","192.60","190.50","26.22K","-0.72%"
"01/09/2023","192.62","193.99","193.99","191.21","23.96K","0.89%"
"01/06/2023","190.93","192.20","192.20","190.00","27.27K","-0.32%"
"01/05/2023","191.55","193.31","193.32","191.01","23.64K","-0.41%"
"01/04/2023","192.33","205.46","205.46","191.96","67.99K","-0.90%"
"01/03/2023","194.07","195.00","195.00","192.98","20.12K","0.22%"
"01/02/2023","193.64","197.75","197.75","192.81","29.03K","0.16%"
"12/30/2022","193.34","194.14","194.85","192.48","10.02K","-0.10%"
"12/29/2022","193.54","192.83","193.91","191.54","13.70K","0.32%"
"12/28/2022","192.92","206.41","206.41","192.53","6.92K","0.07%"
