"Date","Price","Open","High","Low","Vol.","Change %"
"06/20/2023","206.50","205.75","206.75","204.94","3.09M","0.31%"
"06/19/2023","205.87","206.69","208.98","205.51","3.14M","-0.40%"
"06/16/2023","206.69","206.39","207.10","205.41","2.77M","0.67%"
"06/15/2023","205.31","206.39","206.39","204.69","2.67M","-0.26%"
"06/14/2023","205.85","211.60","211.60","205.08","1.88M","0.19%"
"06/13/2023","205.45","205.48","205.52","204.30","1.56M","0.48%"
"06/12/2023","204.46","204.90","205.45","203.83","1.36M","0.21%"
"06/09/2023","204.03","205.90","205.90","203.85","1.79M","-0.23%"
"06/08/2023","204.51","203.92","206.21","203.92","4.52M","-0.40%"
"06/07/2023","205.34","205.39","205.45","203.92","2.13M","0.64%"
"06/06/2023","204.04","205.39","205.39","203.45","1.62M","-0.12%"
"06/05/2023","204.28","205.39","205.48","203.99","1.71M","0.22%"
"06/02/2023","203.84","204.90","204.90","203.08","2.17M","0.42%"
"06/01/2023","202.99","205.39","205.39","202.11","3.33M","-0.33%"
"05/31/2023","203.66","205.49","205.49","203.06","2.59M","-0.34%"
"05/30/2023","204.36","205.49","205.49","202.53","2.61M","0.11%"
"05/29/2023","204.14","202.85","204.80","202.85","3.86M","0.64%"
"05/26/2023","202.85","201.89","203.27","200.05","4.68M","1.07%"
"05/25/2023","200.70","200.95","200.95","199.26","2.89M","0.23%"
"05/24/2023","200.24","201.49","201.50","199.81","2.41M","-0.39%"
"05/23/2023","201.02","200.05","201.70","200.05","2.61M","0.14%"
"05/22/2023","200.74","200.49","200.93","199.05","2.33M","0.46%"
"05/19/2023","199.82","205.00","205.00","198.25","3.30M","0.39%"
"05/18/2023","199.05","201.39","201.49","198.80","3.15M","-0.36%"
"05/17/2023","199.76","201.25","201.49","199.00","3.55M","-0.37%"
"05/16/2023","200.51","200.25","202.25","200.25","3.20M","-0.41%"
"05/15/2023","201.34","200.26","201.79","199.94","3.68M","0.54%"
"05/12/2023","200.26","200.27","200.45","199.06","2.06M","-0.04%"
"05/11/2023","200.35","200.99","200.99","199.96","2.37M","0.18%"
"05/10/2023","200.00","200.20","200.37","199.08","2.64M","0.15%"
"05/09/2023","199.70","200.40","200.49","199.05","2.71M","-0.01%"
"05/08/2023","199.71","197.95","199.99","197.84","3.81M","0.95%"
"05/05/2023","197.84","199.89","199.89","197.67","2.60M","-0.80%"
"05/04/2023","199.44","199.45","199.61","197.03","3.69M","0.89%"
"05/03/2023","197.68","199.79","199.79","197.28","2.13M","-0.36%"
"05/02/2023","198.39","198.50","199.70","196.11","3.54M","0.56%"
"04/28/2023","197.29","196.80","197.72","195.74","3.40M","0.69%"
"04/27/2023","195.93","195.20","196.35","193.86","2.99M","0.67%"
"04/26/2023","194.62","194.50","194.75","193.50","2.09M","0.25%"
"04/25/2023","194.13","194.59","194.60","193.59","1.92M","0.09%"
"04/24/2023","193.95","194.40","194.40","192.80","2.13M","0.57%"
"04/21/2023","192.85","192.50","194.20","192.40","2.34M","-0.07%"
"04/20/2023","192.99","194.00","194.00","192.48","1.46M","0.07%"
"04/19/2023","192.86","194.00","194.00","192.58","1.59M","-0.20%"
"04/18/2023","193.24","194.91","194.91","192.66","2.34M","-0.35%"
"04/17/2023","193.91","196.00","196.00","192.50","3.61M","-0.44%"
"04/13/2023","194.77","194.63","195.10","193.80","2.33M","0.07%"
"04/12/2023","194.64","193.89","194.80","193.57","3.38M","0.45%"
"04/11/2023","193.76","193.91","193.91","192.70","2.80M","0.58%"
"04/10/2023","192.64","194.39","194.39","192.45","3.62M","-0.16%"
"04/06/2023","192.94","189.20","193.25","189.20","3.85M","0.39%"
"04/05/2023","192.19","191.56","192.47","189.77","3.72M","0.86%"
"04/03/2023","190.56","191.49","191.49","189.44","3.12M","0.37%"
"03/31/2023","189.86","187.22","190.00","187.22","4.57M","1.48%"
"03/29/2023","187.09","187.49","187.49","185.01","4.34M","0.74%"
"03/28/2023","185.71","187.53","187.53","185.25","2.45M","-0.25%"
"03/27/2023","186.18","186.64","187.15","185.60","4.06M","0.27%"
"03/24/2023","185.68","187.90","187.90","185.36","2.91M","-0.66%"
"03/23/2023","186.91","189.79","189.79","186.67","2.18M","-0.52%"
"03/22/2023","187.88","188.75","188.75","187.46","1.69M","0.22%"
"03/21/2023","187.46","187.89","187.90","186.01","3.10M","0.68%"
"03/20/2023","186.20","188.40","188.40","184.51","6.34M","-0.65%"
"03/17/2023","187.42","189.52","189.52","185.90","3.87M","0.64%"
"03/16/2023","186.23","188.52","188.52","184.80","6.66M","0.07%"
"03/15/2023","186.10","192.50","192.50","185.76","4.64M","-0.43%"
"03/14/2023","186.91","189.44","189.70","186.31","6.71M","-0.64%"
"03/13/2023","188.12","192.65","192.65","187.65","6.26M","-1.38%"
"03/10/2023","190.75","191.91","191.92","190.00","4.41M","-0.98%"
"03/09/2023","192.64","188.15","194.65","188.15","1.88M","-0.68%"
"03/08/2023","193.95","194.63","194.63","190.60","2.48M","0.17%"
"03/06/2023","193.63","193.89","194.40","192.61","3.54M","0.58%"
"03/03/2023","192.51","193.15","193.15","190.33","2.67M","1.36%"
"03/02/2023","189.93","192.65","196.50","189.76","2.99M","-0.71%"
"03/01/2023","191.28","191.89","191.89","189.81","3.08M","0.83%"
"02/28/2023","189.70","192.48","192.48","189.20","4.38M","-0.45%"
"02/27/2023","190.56","192.87","192.87","189.73","5.77M","-0.47%"
"02/24/2023","191.46","193.99","195.00","191.05","3.40M","-0.29%"
"02/23/2023","192.01","194.49","194.49","191.44","3.17M","-0.26%"
"02/22/2023","192.51","196.89","196.89","192.21","5.80M","-1.41%"
"02/21/2023","195.26","196.25","196.52","193.25","1.37M","-0.17%"
"02/20/2023","195.59","198.69","198.69","195.35","2.45M","-0.36%"
"02/17/2023","196.30","198.89","198.89","195.75","2.17M","-0.53%"
"02/16/2023","197.35","198.48","198.48","196.60","6.24M","0.14%"
"02/15/2023","197.08","196.98","197.37","194.13","2.99M","0.56%"
"02/14/2023","195.98","197.89","197.89","194.60","1.79M","0.71%"
"02/13/2023","194.60","195.49","198.20","193.93","2.21M","-0.46%"
"02/10/2023","195.49","197.97","197.97","194.39","2.02M","-0.20%"
"02/09/2023","195.89","201.40","201.40","194.61","1.55M","0.18%"
"02/08/2023","195.54","194.20","195.80","189.10","2.61M","0.77%"
"02/07/2023","194.04","196.16","196.16","193.40","2.40M","-0.23%"
"02/06/2023","194.48","199.90","201.00","193.91","3.62M","-0.33%"
"02/03/2023","195.12","198.70","203.50","190.01","3.02M","1.15%"
"02/02/2023","192.91","194.60","194.60","191.11","3.79M","-0.11%"
"02/01/2023","193.13","196.99","196.99","190.60","8.06M","-0.16%"
"01/31/2023","193.44","196.49","196.49","192.21","3.33M","0.10%"
"01/30/2023","193.25","194.90","194.90","190.50","5.73M","0.13%"
"01/27/2023","193.00","196.95","197.20","191.59","9.58M","-1.55%"
"01/25/2023","196.04","199.44","199.44","195.60","6.49M","-1.20%"
"01/24/2023","198.42","199.94","199.94","198.00","2.57M","-0.01%"
"01/23/2023","198.44","198.59","199.00","197.61","2.09M","0.50%"
"01/20/2023","197.45","199.89","199.89","197.31","2.22M","-0.49%"
"01/19/2023","198.43","199.41","199.41","197.67","2.71M","-0.11%"
"01/18/2023","198.65","199.00","199.00","197.18","2.29M","0.60%"
"01/17/2023","197.47","196.00","198.00","195.81","1.99M","0.72%"
"01/16/2023","196.06","196.61","198.50","195.60","7.65M","-0.28%"
"01/13/2023","196.61","196.90","197.15","194.73","5.53M","0.51%"
"01/12/2023","195.61","202.00","202.00","194.55","4.09M","-0.27%"
"01/11/2023","196.13","195.88","198.99","195.25","3.14M","0.00%"
"01/10/2023","196.13","198.28","199.18","195.62","4.21M","-1.08%"
